scenario,method,r2_test,seed,distribution,response,missing_mechanism,status
gaussian_interaction_MCAR,NM+MLP_d5_noact,0.4072749,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NMwide+MLP_d3_ef3,0.40004992,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,NMwide+MLP_d5_ef3,0.39818656,2,gaussian,interaction,MCAR,success
gaussian_interaction_MCAR,ImputeMLP_128x64x32,0.55467415,2,gaussian,interaction,MCAR,success
gaussian_sinusoidal_MCAR,NeuMiss_d5,-0.05199492,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+A_gelu_d5,-0.028095007,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+C_gelu_d5_ef3,-0.16143572,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d3_h64,-0.013007164,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d3_h64x32,-0.01372087,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d5_h128x64,-0.012980223,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d3_h128x64x32,-0.017735481,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d5_noact,-0.013235569,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NMwide+MLP_d3_ef3,-0.0074675083,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NMwide+MLP_d5_ef3,-0.03023684,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,ImputeMLP_128x64x32,-0.0078213215,0,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NeuMiss_d5,-0.011107445,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+A_gelu_d5,-0.010001302,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+C_gelu_d5_ef3,-0.14364815,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d3_h64,-0.002421379,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d3_h64x32,-0.0091923475,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d5_h128x64,-0.017041564,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d3_h128x64x32,-0.008377075,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d5_noact,-0.019572139,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NMwide+MLP_d3_ef3,-0.02011466,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NMwide+MLP_d5_ef3,-0.0142633915,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,ImputeMLP_128x64x32,-0.0012316704,1,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NeuMiss_d5,-0.01650405,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+A_gelu_d5,-0.011078358,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+C_gelu_d5_ef3,-0.17401445,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d3_h64,-0.012800813,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d3_h64x32,-0.008630633,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d5_h128x64,-0.027739763,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d3_h128x64x32,-0.0138783455,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NM+MLP_d5_noact,-0.018674135,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NMwide+MLP_d3_ef3,-0.022972941,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,NMwide+MLP_d5_ef3,-0.020434737,2,gaussian,sinusoidal,MCAR,success
gaussian_sinusoidal_MCAR,ImputeMLP_128x64x32,-0.0038368702,2,gaussian,sinusoidal,MCAR,success
mixture_gaussian_quadratic_MCAR,NeuMiss_d5,-0.008935928,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+A_gelu_d5,0.20491749,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+C_gelu_d5_ef3,0.3489523,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d3_h64,0.278148,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d3_h64x32,0.3101629,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d5_h128x64,0.33970273,0,mixture_gaussian,quadratic,MCAR,success
mixture_gaussian_quadratic_MCAR,NM+MLP_d3_h128x64x32,0.30839938,0,mixture_gaussian,quadratic,MCAR,success
