scenario,method,r2_test,seed,distribution,response,missing_mechanism,status
gaussian_quadratic_MAR,ImputeMLP,0.72607076,4,gaussian,quadratic,MAR,success
gaussian_quadratic_MNAR_censoring,NeuMiss_d5,0.4692517,0,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NM+C_gelu_d3,0.77179396,0,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NM-Encoder_d3,0.7860898,0,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,ImputeMLP,0.78863746,0,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NeuMiss_d5,0.4897548,1,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NM+C_gelu_d3,0.64906484,1,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NM-Encoder_d3,0.6611228,1,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,ImputeMLP,0.68376213,1,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NeuMiss_d5,0.4385156,2,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NM+C_gelu_d3,0.75614405,2,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NM-Encoder_d3,0.7939383,2,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,ImputeMLP,0.7987052,2,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NeuMiss_d5,0.4201675,3,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NM+C_gelu_d3,0.6216916,3,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NM-Encoder_d3,0.63981587,3,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,ImputeMLP,0.6645106,3,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NeuMiss_d5,0.36757398,4,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NM+C_gelu_d3,0.4842922,4,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,NM-Encoder_d3,0.49160492,4,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_censoring,ImputeMLP,0.5086372,4,gaussian,quadratic,MNAR_censoring,success
gaussian_quadratic_MNAR_selfmasking,NeuMiss_d5,0.6174753,0,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NM+C_gelu_d3,0.72908604,0,gaussian,quadratic,MNAR_selfmasking,success
gaussian_quadratic_MNAR_selfmasking,NM-Encoder_d3,0.75316775,0,gaussian,quadratic,MNAR_selfmasking,success
