scenario,distribution,response,missing_mechanism,method,seed,r2_test,mse_test,time_s,status
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM-NL_d3_128,2,0.539850333121981,14376.974609375,4.812325954437256,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM-NL_d5_128,2,0.4541486640645527,17054.6484375,6.21150803565979,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,NM-NL_d3_256_128,2,0.5464547305859295,14170.6259765625,5.673498868942261,success
mixture_gaussian_quadratic_MCAR,mixture_gaussian,quadratic,MCAR,SuffStat_d3,2,0.5611374275152836,13711.8779296875,2.9644901752471924,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NeuMiss_orig_d3,0,0.3215432664600256,18.326906204223633,1.44545316696167,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM+C_gelu_d3,0,0.32318197153279504,18.28264045715332,1.4223060607910156,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,ImputeMLP,0,0.4918328472811321,13.726935386657715,2.1489810943603516,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,PretrainEnc_d3,0,0.4541130805353498,14.745845794677734,3.9451839923858643,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM-NL_d3_128,0,0.4364221196376151,15.223725318908691,1.8207831382751465,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM-NL_d5_128,0,0.4415739646424385,15.08456039428711,1.8275370597839355,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM-NL_d3_256_128,0,0.45627337791993194,14.687490463256836,1.9157521724700928,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,SuffStat_d3,0,0.4236722697180888,15.568132400512695,1.573500156402588,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NeuMiss_orig_d3,1,0.3330125190032951,23.882667541503906,1.7959709167480469,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM+C_gelu_d3,1,0.43809213841536754,20.120105743408203,1.4410669803619385,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,ImputeMLP,1,0.6408400921320232,12.860356330871582,1.5647470951080322,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,PretrainEnc_d3,1,0.5759995972952732,15.182085037231445,5.289175987243652,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM-NL_d3_128,1,0.527856620071528,16.905929565429688,2.0737829208374023,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM-NL_d5_128,1,0.5251580189910435,17.0025577545166,2.7306079864501953,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM-NL_d3_256_128,1,0.5949917594680889,14.502037048339844,1.8720550537109375,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,SuffStat_d3,1,0.6058600196238653,14.112879753112793,2.450878858566284,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NeuMiss_orig_d3,2,0.3885775199211735,42.45182800292969,1.8166007995605469,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM+C_gelu_d3,2,0.497736276485241,34.872798919677734,2.458996057510376,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,ImputeMLP,2,0.6240773439416963,26.100780487060547,2.3361611366271973,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,PretrainEnc_d3,2,0.5555035589830133,30.8619441986084,6.163937091827393,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM-NL_d3_128,2,0.5545863559259921,30.925626754760742,2.54288911819458,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM-NL_d5_128,2,0.49186697907465016,35.280311584472656,4.544738054275513,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,NM-NL_d3_256_128,2,0.6448690197333266,24.657188415527344,2.804440975189209,success
mixture_gaussian_cubic_MCAR,mixture_gaussian,cubic,MCAR,SuffStat_d3,2,0.6221437124340407,26.235034942626953,2.0204226970672607,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NeuMiss_orig_d3,0,-0.1346700734742814,82040.21875,0.8491940498352051,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM+C_gelu_d3,0,0.3127928817069364,49687.23828125,2.2719807624816895,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,ImputeMLP,0,0.4953516028380075,36487.66796875,2.885622024536133,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,PretrainEnc_d3,0,0.3837870995201086,44554.1328125,7.324271202087402,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM-NL_d3_128,0,0.43360750088359523,40951.9609375,5.202067136764526,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM-NL_d5_128,0,0.2775029895287885,52238.80859375,3.178213119506836,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM-NL_d3_256_128,0,0.48246380825178015,37419.49609375,2.6025121212005615,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,SuffStat_d3,0,0.3862155682838414,44378.546875,0.9961910247802734,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NeuMiss_orig_d3,1,0.14483952083094565,37948.30078125,2.2194323539733887,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM+C_gelu_d3,1,0.46505948944760134,23738.33203125,2.908751964569092,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,ImputeMLP,1,0.5475715759787313,20076.8046875,3.3014378547668457,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,PretrainEnc_d3,1,0.46826168737323026,23596.232421875,9.140491008758545,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM-NL_d3_128,1,0.5396904411432015,20426.53515625,3.8835818767547607,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM-NL_d5_128,1,0.4970483265825517,22318.806640625,7.072205066680908,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM-NL_d3_256_128,1,0.5370913153909899,20541.873046875,2.9114797115325928,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,SuffStat_d3,1,0.40420104776637944,26438.96484375,2.5504672527313232,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NeuMiss_orig_d3,2,-0.056877854681852025,211336.21875,1.1309733390808105,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM+C_gelu_d3,2,0.32273508419575303,135427.765625,1.8436999320983887,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,ImputeMLP,2,0.43229477800437377,113519.90625,2.794266939163208,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,PretrainEnc_d3,2,0.3249695626928044,134980.953125,7.736331939697266,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM-NL_d3_128,2,0.3893528771801813,122106.6875,7.3212761878967285,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM-NL_d5_128,2,0.2803653992770685,143900.125,5.428951025009155,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,NM-NL_d3_256_128,2,0.43114104758721883,113750.609375,3.8502590656280518,success
student_t_quadratic_MCAR,student_t,quadratic,MCAR,SuffStat_d3,2,0.3353071122537892,132913.828125,3.2256760597229004,success
gaussian_quadratic_MAR,gaussian,quadratic,MAR,NeuMiss_orig_d3,0,0.17606302604600843,7340.51806640625,1.1484498977661133,success
gaussian_quadratic_MAR,gaussian,quadratic,MAR,NM+C_gelu_d3,0,0.7001963192604979,2670.97412109375,3.9508161544799805,success
